Income_JobSatisfaction,MonthlyIncome,DailyRate,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,Age,OverTime_Yes,MaritalStatus_Single,Attrition_Yes
23972,5993,1102,8,6,4,5,41,1,1,1
10260,5130,279,10,10,7,7,49,0,0,0
6270,2090,1373,7,0,0,0,37,1,1,1
8727,2909,1392,8,8,7,0,33,1,0,0
6936,3468,591,6,2,2,2,27,0,0,0
12272,3068,1005,8,7,7,6,32,0,1,0
2670,2670,1324,12,1,0,0,59,1,0,0
8079,2693,1358,1,1,0,0,30,0,0,0
28578,9526,216,10,9,7,8,38,0,1,0
15711,5237,1299,17,7,7,7,36,0,0,0
4852,2426,809,6,5,4,3,35,0,0,0
12579,4193,153,10,9,5,8,29,1,1,0
8733,2911,670,5,5,2,3,31,0,0,0
10644,2661,1346,3,2,2,2,34,0,0,0
6084,2028,103,6,4,2,3,28,1,1,1
9980,9980,1389,10,10,9,8,29,0,0,0
6596,3298,334,7,6,2,5,32,1,0,0
11740,2935,1123,1,1,0,0,22,1,0,0
61708,15427,1219,31,25,8,7,53,0,0,0
15776,3944,371,6,3,2,2,38,1,1,0
12033,4011,673,5,4,2,3,24,0,0,0
3407,3407,1218,10,5,3,3,36,0,1,1
23988,11994,419,13,12,6,11,34,0,1,0
4928,1232,391,0,0,0,0,21,0,1,0
2960,2960,699,8,4,2,3,34,0,1,1
57282,19094,1282,26,14,13,8,53,0,0,0
3919,3919,1125,10,10,2,7,32,1,1,1
13650,6825,691,10,9,7,2,42,0,0,0
40992,10248,477,24,22,6,17,44,0,0,0
18947,18947,705,22,2,2,1,46,0,1,0
9984,2496,924,7,1,1,0,33,0,1,0
25860,6465,1459,9,4,2,3,44,1,0,0
6618,2206,125,10,10,0,8,30,0,1,0
8344,2086,895,19,1,0,0,39,0,0,1
9172,2293,813,6,2,0,0,24,1,0,1
7935,2645,1273,6,5,3,4,43,0,0,0
8049,2683,869,3,3,2,2,50,1,0,1
8056,2014,890,2,2,2,2,35,0,0,0
3419,3419,852,6,1,1,0,36,1,0,0
5376,5376,1141,10,5,3,3,33,0,0,0
7804,1951,464,1,1,0,0,35,0,0,0
2341,2341,1240,1,1,0,0,27,0,0,0
6879,2293,1357,1,1,0,1,26,0,1,1
26178,8726,994,9,9,8,7,27,0,1,0
16044,4011,721,12,12,8,7,30,0,1,0
58635,19545,1360,23,22,15,8,41,0,0,1
13704,4568,1065,10,9,5,7,34,0,1,0
6044,3022,408,8,1,0,0,37,0,0,0
23088,5772,1211,14,9,6,8,46,1,1,0
9076,2269,1229,1,1,0,1,35,0,0,0
16143,5381,626,23,1,0,0,48,1,1,1
10323,3441,1434,2,2,2,2,28,1,1,1
5454,5454,1488,9,4,3,3,44,1,0,0
9884,9884,1097,10,4,0,3,35,1,0,0
16628,4157,1443,5,2,2,0,26,1,0,0
53832,13458,515,15,15,14,12,33,1,1,0
9069,9069,853,9,9,8,8,35,0,0,0
4014,4014,1142,4,2,2,2,35,1,0,0
23660,5915,655,10,7,7,7,31,0,0,0
17979,5993,1115,7,7,5,7,37,0,0,0
24648,6162,427,9,9,8,8,32,1,0,0
9624,2406,653,10,10,3,9,38,0,1,0
56220,18740,989,29,27,3,8,50,1,0,0
7637,7637,1435,28,21,16,9,59,0,1,0
30288,10096,1223,17,17,14,8,36,0,0,0
44268,14756,836,21,5,0,2,55,1,0,0
12998,6499,1195,6,6,5,3,36,0,1,0
9724,9724,1339,25,1,0,0,45,0,0,0
2194,2194,664,5,3,2,2,35,0,0,0
10164,3388,318,2,1,0,0,36,1,0,1
16419,5473,1225,20,4,3,3,59,0,1,0
5406,2703,1328,6,5,4,4,29,0,0,0
5002,2501,1082,1,1,1,0,31,0,1,0
12440,6220,548,10,10,4,9,32,0,0,0
12152,3038,132,5,1,0,0,36,0,0,0
